NodeType,SymptomDescription,SymptomID
[Symptom],An attacker can exploit this vulnerability to gain unauthorized access to sensitive information in Microsoft Outlook.,InformationDisclosureThroughOutlook
[Symptom],The system is vulnerable to spoofing attacks where an attacker can exploit the vulnerability over the network without any user interaction or special access conditions.,SpoofingVulnerabilityInOutlook
[Symptom],"The system is vulnerable to spoofing attacks where an attacker can modify files protected by the impacted component, leading to a total loss of integrity. The attack can be carried out remotely and does not require any user interaction.",SpoofingVulnerabilityInWindowsDNS
[Symptom],"The vulnerability manifests as a 'use after free' issue in the Side Panel Search of Chromium, which is used by Microsoft Edge.",SymptomUseAfterFreeInSidePanelSearch
[Symptom],"After installing the latest LCU on a Windows 10 22H2 Enterprise, the control panel shows an option to uninstall the Microsoft-Windows-TS-OptionalComponents-Package.",UninstallOptionInControlPanel
[Symptom],Both Server 2012 and Server 2012 R2 did not receive any Security Only updates in the current month.,MissingSecurityOnlyUpdates
[Symptom],The vulnerability allows an attacker to execute arbitrary code remotely through the Microsoft SQL OLE DB.,RemoteCodeExecutionThroughOLEDB
[Symptom],"The vulnerability allows for a use after free condition in ANGLE, a component of Chromium, which can be exploited by an attacker.",UseAfterFreeInANGLE
[Symptom],"The vulnerability allows for a use after free condition in Media Capture in Chromium, which is used by Microsoft Edge.",SymptomUseAfterFreeInMediaCapture
[Symptom],"The required registry key is not set in the Windows Registry, which may lead to a potential security vulnerability.",WindowsRegistryKeyNotSet
[Symptom],The vulnerability allows remote code execution due to improper handling of objects in memory in Skype for Business.,ImproperHandlingOfObjectsInMemory
[Symptom],"The 'Security Update' table for the list of affected software excludes Windows 10 and 11 22H2, despite the 'EnableCertPaddingCheck' being available for all supported versions.",MissingSecurityUpdateExclusion
[Symptom],"The symptom of this vulnerability is an inappropriate implementation in the Extensions API of Chromium, which is used by Microsoft Edge.",SymptomInappropriateImplementationInExtensionsAPI
[Symptom],The vulnerability is due to an inappropriate implementation in Intents in Chromium which is consumed by Microsoft Edge.,SymptomInappropriateImplementationInIntents
[Symptom],"The symptom of this vulnerability is an inappropriate implementation in interstitials of Chromium, which is consumed by Microsoft Edge.",InappropriateImplementationInInterstitials
[Symptom],"The vulnerability allows an attacker to elevate their privileges in Microsoft Edge (Chromium-based), gaining unauthorized access and the ability to modify data.",ElevationOfPrivilegeInEdge
[Symptom],The system allows an attacker to gain unauthorized access to restricted information over the network without any user interaction.,InformationDisclosureVulnerability
[Symptom],"The need to block child processes, specifically AsrOfficeChildProcessBlocked, in a Microsoft system.",BlockChildProcesses
[Symptom],"On Windows 11 22H2 devices, the protection is disabled and the registry keys are lacking.",Windows11ProtectionNotEnabled
[Symptom],Ransomware crooks are exploiting IBM file-exchange bug with a 9.8 severity.,RansomwareCrooksExploitingIbmFileExchangeBug
[Symptom],The system is vulnerable to CVE-2023-36884 - Security Update Guide - Microsoft - Office and Windows HTML Remote Code Execution Vulnerability.,NoPatchAvailable
[Symptom],The old visual foxpro app is crashing after the upgrade to Windows 11 22H2. The faulting .dll is msvcr71.dll.,CrashesInVisualFoxProApp
[Symptom],"When using the Windows Key + K to display wirelessly to a TV or monitor, the user is experiencing an error with Autodesk Inventor 2022.",WirelessDisplayIssueWithAutodeskInventor
[Symptom],"The symptom of this vulnerability is an inappropriate implementation in the DevTools of Chromium, which is used by Microsoft Edge.",SymptomInappropriateImplementationInDevTools
[Symptom],"The vulnerability allows for a use after free in Blink History in Chromium, which is consumed by Microsoft Edge.",SymptomUseAfterFreeInBlinkHistory
[Symptom],The vulnerability allows an attacker to execute arbitrary code on the target system remotely via the network.,RemoteCodeExecutionThroughNetwork
[Symptom],"The vulnerability manifests as a 'use after free' issue in libwebp in Chromium, which is consumed by Microsoft Edge.",SymptomUseAfterFreeInLibwebp
[Symptom],Dictation is not working across several devices after the latest Windows 10 update. This issue is observed with the Hololens app using Unity's DictationRecognizer and also with the virtual keyboard.,DictationNotWorkingAcrossSeveralDevices
[Symptom],Two systems experienced a BSOD after the latest Google Chrome update was deployed to the test group.,BSODAfterChromeUpdate
[Symptom],"The vulnerability is due to an inappropriate implementation in the Downloads feature of Chromium, which is consumed by Microsoft Edge.",InappropriateImplementationInDownloads
[Symptom],"The vulnerability is due to an inappropriate implementation in prompts in Chromium, which is consumed by Microsoft Edge.",InappropriateImplementationInPrompts
[Symptom],"The vulnerability allows for insufficient policy enforcement in downloads in Chromium, affecting Microsoft Edge (Chromium-based).",InsufficientPolicyEnforcementInDownloads
[Symptom],The web servers are impacted by the CVE-2023-44487 HTTP/2 Rapid Reset Attack.,HTTP2RapidResetAttack
[Symptom],Windows Defender updates are failing with error 0x80070643. Manually running update gets to about 66% and then shows the error.,WindowsDefenderUpdateFails
[Symptom],The vulnerability in Windows Remote Desktop Gateway allows an attacker to disclose information from the system without requiring user interaction.,InformationDisclosureThroughRDGateway
[Symptom],The vulnerability is due to an inappropriate implementation in the Chromium installer.,InappropriateImplementationInInstaller
[Symptom],The vulnerability allows an attacker to elevate their privileges on the target system.,ElevationOfPrivilege
[Symptom],The vulnerability allows an attacker to exploit the vulnerable component remotely over the network without any user interaction.,NetworkExploitationWithoutUserInteraction
[Symptom],"The vulnerability allows an attacker to cause a total loss of availability in Microsoft Common Data Model SDK, resulting in the attacker being able to fully deny access to resources in the impacted component.",DenialOfServiceInCommonDataModelSDK
[Symptom],The user is unable to activate KMS from another domain.,KMSActivationAcrossDomains
[Symptom],"After a recent update, the Windows Mail app is rebranded as 'Outlook Pre' and replaces the Outlook 365 icons and shortcuts. Opening 'Outlook Pre' disables Outlook from MS 365.",OutlookPreRebrandsWindowsMail
[Symptom],Microsoft Edge 114.0.1823.55 in WSUS is marked as expired when approved.,MicrosoftEdgeMarkedAsExpiredInWSUS
[Symptom],"Recent patches have caused virtual network adapters to fail on Hyper-V clustered virtual machines, specifically on Server 2012-R2 instances.",VirtualNetworkAdapterFailure
[Symptom],"An update to the your-phone service on a personal machine running Windows 11 has failed, causing the Windows Event Log to write at 60MBps to the C drive due to a full backing file of the event log.",ExcessiveEventLogWriting
[Symptom],"The vulnerability allows for an elevation of privilege within the Windows Kerberos system, potentially allowing an attacker to gain unauthorized access or control.",KerberosElevationOfPrivilege
[Symptom],"The vulnerability is due to an inappropriate implementation in Custom Tabs of Chromium, which is consumed by Microsoft Edge.",InappropriateImplementationInCustomTabs
[Symptom],"The vulnerability manifests as insufficient policy enforcement in the Autofill feature of Chromium, which is used by Microsoft Edge.",InsufficientPolicyEnforcementInAutofill
[Symptom],"The symptom of this vulnerability is an inappropriate implementation in navigation within Chromium, which is consumed by Microsoft Edge.",InappropriateImplementationInNavigation
[Symptom],Accidentally checking the Drivers checkbox in WSUS can result in over 700k updates pending approval/rejection and an SQL database of approximately 54Gb. This leads to thousands of identical copies of the same drivers and makes the WSUS server almost unusable.,AccidentallyCheckedDriversCheckbox
[Symptom],Windows Update is not detecting the 22H2 feature update despite the target being set in the registry. The issue persists even after a restart.,WindowsUpdateNotDetectingFeatureUpdate
[Symptom],A 3CX hack targeted a 10-year-old vulnerability in the system.,3CXHackTargeted10yoVulnerability
[Symptom],Upgrading to Windows 11 resets other policies and removes keys related to channel preference and privacy controls.,Windows11UpgradeResetsPolicies
[Symptom],The system exhibits a spoofing vulnerability in Microsoft Edge (Chromium-based) where an attacker can exploit the vulnerable component through the network. This requires user interaction for successful exploitation.,SpoofingVulnerabilityInEdge
[Symptom],"The vulnerability allows an attacker to elevate their privileges through the Windows RDP Encoder Mirror Driver, potentially gaining unauthorized access to system resources.",ElevationOfPrivilegeInRdpEncoderMirrorDriver
[Symptom],"The vulnerability manifests as a use after free issue in passwords in Chromium, affecting Microsoft Edge.",UseAfterFreeInPasswords
[Symptom],"The vulnerability manifests as a use-after-free issue in Extensions of Chromium, which is consumed by Microsoft Edge.",UseAfterFreeInExtensions
[Symptom],"The symptom of this vulnerability is an inappropriate implementation in the input of Chromium, which is used by Microsoft Edge.",InappropriateImplementationInInput
[Symptom],The symptom of this vulnerability is an inappropriate implementation in the Custom Mobile Tabs of Chromium.,SymptomInappropriateImplementationInCustomMobileTabs
[Symptom],"The vulnerability manifests as an inappropriate implementation in the Picture in Picture feature of Chromium, which is used by Microsoft Edge.",InappropriateImplementationInPictureInPicture
[Symptom],"The vulnerability allows an attacker to write data outside of the intended boundary of an allocated array, leading to corruption of relevant memory and potential code execution.",OutOfBoundsWriteVulnerability
[Symptom],The vulnerability allows an attacker to disclose information through the DHCP Server Service.,InformationDisclosureThroughDHCP
[Symptom],An attacker can execute arbitrary code if a user opens a specially crafted document in Microsoft Word.,RemoteCodeExecutionThroughSpeciallyCraftedDocument
[Symptom],An attacker could exploit this vulnerability to execute arbitrary code if a user opens a specially crafted document or visits a malicious webpage that contains embedded TrueType fonts.,RemoteCodeExecutionThrough3DViewer
[Symptom],"The vulnerability manifests as a type confusion in the V8 engine of Chromium, which is used by Microsoft Edge.",SymptomTypeConfusionInV8
[Symptom],The update KB5022835 for IE 11 on a Windows 2012 R2 Server is showing as 'not applicable' for installation.,UpdateNotApplicable
[Symptom],The spell check feature in Microsoft Teams is not working after the latest update.,SpellCheckIssueWithLatestUpdate
[Symptom],"Clients with Defender ATP installed are experiencing slowdowns, particularly with HTTP/s requests delayed by up to 30 seconds.",IntermittentNetworkConnectivityIssues
[Symptom],"After installing patch KB5025221 on Windows 10 v21H2, a black screen is observed post logon. The system becomes non-responsive and requires a reset.",BlackScreenPostLogon
[Symptom],"If a security platform requires certificate validation for executables, it will report them as being unsigned.",UnsignedCertificateValidation
[Symptom],"The KB article contains a misspelling in the section '3b Apply the Secure Boot UEFI Forbibben List (DBX)'. This raises concerns about the overall quality control of the steps, recommendations, and the patch itself.",PoorProofreadingInKB
[Symptom],The Tenable (Nessus) scanner found a High finding on a MS server running .NET core 6.0.8 and asp.net core 6.0.8.,SecurityScanFindingOnMSServer
[Symptom],A 10-year-old vulnerability has been targeted in a 3CX hack.,VulnerabilityTargetedIn3CXHack
[Symptom],"Microsoft has resolved a record number of vulnerabilities this year - 142 vulnerabilities in total, six of them are zero-days and nine criticals.",MicrosoftHasResolvedRecordNumberOfVulnerabilities
[Symptom],"After the updates, a user may experience an Out of Box Experience (OOBE) similar to a 'pop' if Windows Hello is being used.",WindowsHelloIssuesAfterUpdate
[Symptom],"Per-User based applications, like Zoom, are not easily managed by traditional update solutions. The actual EXE files for these applications are easily seen by vulnerability scanners while the installations are hidden.",UnmanageablePerUserAppUpdates
[Symptom],"After the Microsoft June update is applied and the system reboots, there are issues with opening Google Chrome.",MicrosoftJuneUpdateCausesChromeIssues
[Symptom],"After the installation of KB5025221, there are reports of group policy issues on managed Windows clients.",GroupPolicyIssuesAfterPatchInstallation
[Symptom],Operational changes for Kerberos and Netlogon are being phased in due to their impact on core authentication mechanisms.,KerberosAndNetlogonChanges
[Symptom],"The user has stopped receiving CISA email alerts and weekly vulnerability summaries. The last vulnerability summary was received on March 8, and the last alert was dated April 6. The user has resubscribed to some alerts but is still not receiving vulnerability summaries.",NoLongerReceivingCISAEmails
